num players,unite,random,mean,std
5,False,False,1.0,0.0
10,False,False,0.82,0.38418745424597084
6,False,False,0.84,0.36660605559646725
7,False,False,0.92,0.2712931993250107
11,False,False,0.92,0.2712931993250107
9,False,False,0.97,0.1705872210923198
8,False,False,0.69,0.462493243193887
12,False,False,0.8,0.4
14,False,False,0.72,0.448998886412873
13,False,False,0.9,0.3
15,False,False,0.8,0.4
16,False,False,0.82,0.3841874542459709
17,False,False,0.9,0.3
18,False,False,0.88,0.3249615361854384
19,False,False,0.94,0.23748684174075838
20,False,False,0.9090909090909091,0.28747978728803447
21,False,False,0.9696969696969697,0.17141982574219336
22,False,False,0.696969696969697,0.459568208730397
23,False,False,0.9696969696969697,0.17141982574219336
24,False,False,0.6363636363636364,0.48104569292083466
25,False,False,0.9696969696969697,0.17141982574219336
26,False,False,0.9393939393939394,0.2386062992124791
27,False,False,0.9393939393939394,0.2386062992124791
28,False,False,0.7272727272727273,0.4453617714151233
29,False,False,0.8787878787878788,0.3263736246748184
30,False,False,0.76,0.4270831300812524
31,False,False,0.92,0.2712931993250107
32,False,False,0.84,0.3666060555964672
33,False,False,0.8,0.4
34,False,False,0.72,0.448998886412873
35,False,False,0.88,0.32496153618543844
36,False,False,0.8,0.4
37,False,False,0.96,0.19595917942265428
38,False,False,0.76,0.4270831300812524
39,False,False,0.88,0.32496153618543844
40,False,False,0.75,0.4330127018922193
41,False,False,1.0,0.0
42,False,False,0.85,0.3570714214271425
43,False,False,0.75,0.4330127018922193
44,False,False,0.7,0.45825756949558394
45,False,False,0.9,0.30000000000000004
46,False,False,0.65,0.47696960070847283
47,False,False,1.0,0.0
48,False,False,0.7,0.45825756949558394
49,False,False,0.75,0.4330127018922193
50,False,False,0.9375,0.24206145913796356
51,False,False,0.875,0.33071891388307384
52,False,False,0.75,0.4330127018922193
53,False,False,0.9375,0.24206145913796356
54,False,False,0.8125,0.3903123748998999
55,False,False,0.8125,0.3903123748998999
56,False,False,1.0,0.0
57,False,False,0.8125,0.3903123748998999
58,False,False,0.6875,0.46351240544347894
59,False,False,0.8125,0.3903123748998999
60,False,False,0.9285714285714286,0.25753937681885636
61,False,False,0.7857142857142857,0.410325903324145
62,False,False,0.7142857142857143,0.45175395145262565
63,False,False,1.0,0.0
64,False,False,0.9285714285714286,0.25753937681885636
65,False,False,1.0,0.0
66,False,False,0.8571428571428571,0.3499271061118826
67,False,False,0.7857142857142857,0.410325903324145
68,False,False,0.9285714285714286,0.25753937681885636
69,False,False,0.7857142857142857,0.410325903324145
70,False,False,0.9166666666666666,0.2763853991962833
71,False,False,0.8333333333333334,0.3726779962499649
72,False,False,0.6666666666666666,0.4714045207910317
73,False,False,0.9166666666666666,0.2763853991962833
74,False,False,1.0,0.0
75,False,False,0.9166666666666666,0.2763853991962833
76,False,False,0.5833333333333334,0.4930066485916347
77,False,False,0.9166666666666666,0.2763853991962833
78,False,False,0.9166666666666666,0.2763853991962833
79,False,False,0.9166666666666666,0.2763853991962833
80,False,False,0.7272727272727273,0.4453617714151233
81,False,False,1.0,0.0
82,False,False,0.8181818181818182,0.385694607919935
83,False,False,0.8181818181818182,0.385694607919935
84,False,False,0.9090909090909091,0.28747978728803447
85,False,False,0.8181818181818182,0.385694607919935
86,False,False,0.6363636363636364,0.4810456929208346
87,False,False,1.0,0.0
88,False,False,0.5454545454545454,0.49792959773196915
89,False,False,0.9090909090909091,0.28747978728803447
90,False,False,0.6,0.48989794855663565
91,False,False,0.9,0.30000000000000004
92,False,False,1.0,0.0
93,False,False,0.9,0.30000000000000004
94,False,False,1.0,0.0
95,False,False,0.8,0.4
96,False,False,0.9,0.3
97,False,False,0.9,0.3
98,False,False,0.7,0.45825756949558394
99,False,False,1.0,0.0
